Gene	Gene description	Concentration
SMU1	SMU1 DNA replication regulator and spliceosomal factor	25 ng/L
MACF1	Microtubule actin crosslinking factor 1	25 ng/L
NCBP1	Nuclear cap binding protein subunit 1	25 ng/L
PPCDC	Phosphopantothenoylcysteine decarboxylase	25 ng/L
GLTP	Glycolipid transfer protein	25 ng/L
EML4	EMAP like 4	25 ng/L
NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	25 ng/L
PTK2	Protein tyrosine kinase 2	25 ng/L
LINGO1	Leucine rich repeat and Ig domain containing 1	25 ng/L
SNTB1	Syntrophin beta 1	25 ng/L
RUFY1	RUN and FYVE domain containing 1	25 ng/L
MUC16	Mucin 16, cell surface associated	25 ng/L
HDAC2	Histone deacetylase 2	25 ng/L
CTSO	Cathepsin O	25 ng/L
ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	24 ng/L
ZC3HAV1	Zinc finger CCCH-type containing, antiviral 1	24 ng/L
UXS1	UDP-glucuronate decarboxylase 1	24 ng/L
ESYT2	Extended synaptotagmin 2	24 ng/L
USP9X	Ubiquitin specific peptidase 9 X-linked	24 ng/L
TRIP10	Thyroid hormone receptor interactor 10	24 ng/L
NUP205	Nucleoporin 205	24 ng/L
GALK2	Galactokinase 2	24 ng/L
TMED4	Transmembrane p24 trafficking protein 4	24 ng/L
PRPSAP1	Phosphoribosyl pyrophosphate synthetase associated protein 1	24 ng/L
PSIP1	PC4 and SFRS1 interacting protein 1	24 ng/L
BDNF	Brain derived neurotrophic factor	24 ng/L
HS6ST3	Heparan sulfate 6-O-sulfotransferase 3	24 ng/L
TOR3A	Torsin family 3 member A	24 ng/L
DDRGK1	DDRGK domain containing 1	24 ng/L
SPINK9	Serine peptidase inhibitor Kazal type 9	24 ng/L
ADAM11	ADAM metallopeptidase domain 11	23 ng/L
SRSF5	Serine and arginine rich splicing factor 5	23 ng/L
YKT6	YKT6 v-SNARE homolog	23 ng/L
GRPEL1	GrpE like 1, mitochondrial	23 ng/L
GOLPH3	Golgi phosphoprotein 3	23 ng/L
IGSF21	Immunoglobin superfamily member 21	23 ng/L
NRN1	Neuritin 1	23 ng/L
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	23 ng/L
ENAM	Enamelin	23 ng/L
STT3A	STT3 oligosaccharyltransferase complex catalytic subunit A	23 ng/L
TBRG4	Transforming growth factor beta regulator 4	23 ng/L
DYNC1LI1	Dynein cytoplasmic 1 light intermediate chain 1	23 ng/L
MINDY3	MINDY lysine 48 deubiquitinase 3	23 ng/L
UBASH3B	Ubiquitin associated and SH3 domain containing B	23 ng/L
SFXN1	Sideroflexin 1	23 ng/L
MARS1	Methionyl-tRNA synthetase 1	23 ng/L
SRP68	Signal recognition particle 68	23 ng/L
HTRA4	HtrA serine peptidase 4	23 ng/L
SNCG	Synuclein gamma	23 ng/L
SRP72	Signal recognition particle 72	23 ng/L
CHMP5	Charged multivesicular body protein 5	22 ng/L
CBX5	Chromobox 5	22 ng/L
CDC5L	Cell division cycle 5 like	22 ng/L
LANCL1	LanC like 1	22 ng/L
EPCAM	Epithelial cell adhesion molecule	22 ng/L
XG	Xg glycoprotein (Xg blood group)	22 ng/L
A4GALT	Alpha 1,4-galactosyltransferase (P blood group)	22 ng/L
SRP9	Signal recognition particle 9	22 ng/L
PCDH15	Protocadherin related 15	22 ng/L
SCOC	Short coiled-coil protein	22 ng/L
TBCEL	Tubulin folding cofactor E like	22 ng/L
DUSP23	Dual specificity phosphatase 23	22 ng/L
PLIN1	Perilipin 1	22 ng/L
DNAJC7	DnaJ heat shock protein family (Hsp40) member C7	22 ng/L
KYAT1	Kynurenine aminotransferase 1	22 ng/L
LSM1	LSM1 homolog, mRNA degradation associated	22 ng/L
DRG1	Developmentally regulated GTP binding protein 1	22 ng/L
SLC25A13	Solute carrier family 25 member 13	21 ng/L
CIAPIN1	Cytokine induced apoptosis inhibitor 1	21 ng/L
BCLAF1	BCL2 associated transcription factor 1	21 ng/L
SEPHS1	Selenophosphate synthetase 1	21 ng/L
TRIP6	Thyroid hormone receptor interactor 6	21 ng/L
SLC9A1	Solute carrier family 9 member A1	21 ng/L
EIF3E	Eukaryotic translation initiation factor 3 subunit E	21 ng/L
NUDT1	Nudix hydrolase 1	21 ng/L
OCIAD1	OCIA domain containing 1	21 ng/L
OAS3	2'-5'-oligoadenylate synthetase 3	21 ng/L
PAIP2	Poly(A) binding protein interacting protein 2	21 ng/L
NPY	Neuropeptide Y	21 ng/L
BMP2	Bone morphogenetic protein 2	21 ng/L
RAP1GAP2	RAP1 GTPase activating protein 2	21 ng/L
SWAP70	Switching B cell complex subunit SWAP70	21 ng/L
MYBPC3	Myosin binding protein C3	21 ng/L
DYNC1LI2	Dynein cytoplasmic 1 light intermediate chain 2	21 ng/L
PPIL1	Peptidylprolyl isomerase like 1	21 ng/L
PMM2	Phosphomannomutase 2	21 ng/L
ARHGAP17	Rho GTPase activating protein 17	21 ng/L
CEP170	Centrosomal protein 170	21 ng/L
PARD3	Par-3 family cell polarity regulator	21 ng/L
GLYAT	Glycine-N-acyltransferase	21 ng/L
PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	21 ng/L
C1GALT1C1	C1GALT1 specific chaperone 1	21 ng/L
DDX23	DEAD-box helicase 23	21 ng/L
UBE2H	Ubiquitin conjugating enzyme E2 H	21 ng/L
NCR3LG1	Natural killer cell cytotoxicity receptor 3 ligand 1	21 ng/L
PCDHGA12	Protocadherin gamma subfamily A, 12	21 ng/L
OGFR	Opioid growth factor receptor	20 ng/L
COASY	Coenzyme A synthase	20 ng/L
EEA1	Early endosome antigen 1	20 ng/L
CD40LG	CD40 ligand	20 ng/L
SRRM1	Serine and arginine repetitive matrix 1	20 ng/L
TOR1A	Torsin family 1 member A	20 ng/L
MYG1	MYG1 exonuclease	20 ng/L
SNAPIN	SNAP associated protein	20 ng/L
HPGD	15-hydroxyprostaglandin dehydrogenase	20 ng/L
UCMA	Upper zone of growth plate and cartilage matrix associated	20 ng/L
CHST14	Carbohydrate sulfotransferase 14	20 ng/L
FAM98B	Family with sequence similarity 98 member B	20 ng/L
LAMB3	Laminin subunit beta 3	20 ng/L
TAPBP	TAP binding protein	20 ng/L
UPF1	UPF1 RNA helicase and ATPase	19 ng/L
AASS	Aminoadipate-semialdehyde synthase	19 ng/L
MGST1	Microsomal glutathione S-transferase 1	19 ng/L
IDH3G	Isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma	19 ng/L
PFN2	Profilin 2	19 ng/L
SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	19 ng/L
SLC25A24	Solute carrier family 25 member 24	19 ng/L
ATP6V1D	ATPase H+ transporting V1 subunit D	19 ng/L
PPP6R1	Protein phosphatase 6 regulatory subunit 1	19 ng/L
PMPCB	Peptidase, mitochondrial processing subunit beta	19 ng/L
HSD17B1	Hydroxysteroid 17-beta dehydrogenase 1	19 ng/L
DDX6	DEAD-box helicase 6	19 ng/L
FAM162A	Family with sequence similarity 162 member A	19 ng/L
PPM1G	Protein phosphatase, Mg2+/Mn2+ dependent 1G	19 ng/L
RBM39	RNA binding motif protein 39	19 ng/L
HSPBP1	HSPA (Hsp70) binding protein 1	19 ng/L
ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	19 ng/L
CARM1	Coactivator associated arginine methyltransferase 1	19 ng/L
BANK1	B cell scaffold protein with ankyrin repeats 1	19 ng/L
CCAR2	Cell cycle and apoptosis regulator 2	19 ng/L
MGAT4B	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	19 ng/L
CDH4	Cadherin 4	19 ng/L
SRPRA	SRP receptor subunit alpha	19 ng/L
TRIM16	Tripartite motif containing 16	19 ng/L
CBFB	Core-binding factor subunit beta	18 ng/L
TCOF1	Treacle ribosome biogenesis factor 1	18 ng/L
ADD2	Adducin 2	18 ng/L
WDR77	WD repeat domain 77	18 ng/L
UCHL5	Ubiquitin C-terminal hydrolase L5	18 ng/L
P3H1	Prolyl 3-hydroxylase 1	18 ng/L
TNFSF10	TNF superfamily member 10	18 ng/L
STAMBP	STAM binding protein	18 ng/L
EEF1E1	Eukaryotic translation elongation factor 1 epsilon 1	18 ng/L
PCSK2	Proprotein convertase subtilisin/kexin type 2	18 ng/L
ACTL6A	Actin like 6A	18 ng/L
SLC47A1	Solute carrier family 47 member 1	18 ng/L
CDKN2A	Cyclin dependent kinase inhibitor 2A	18 ng/L
CXADR	CXADR Ig-like cell adhesion molecule	18 ng/L
CUL4B	Cullin 4B	18 ng/L
UQCRQ	Ubiquinol-cytochrome c reductase complex III subunit VII	18 ng/L
PSCA	Prostate stem cell antigen	18 ng/L
RILP	Rab interacting lysosomal protein	18 ng/L
NUDCD2	NudC domain containing 2	18 ng/L
RSL1D1	Ribosomal L1 domain containing 1	18 ng/L
BAIAP2	BAR/IMD domain containing adaptor protein 2	18 ng/L
METTL7A	Methyltransferase like 7A	18 ng/L
TRABD2A	TraB domain containing 2A	18 ng/L
LSM14A	LSM14A mRNA processing body assembly factor	18 ng/L
RANBP3	RAN binding protein 3	17 ng/L
SZRD1	SUZ RNA binding domain containing 1	17 ng/L
ANKS1A	Ankyrin repeat and sterile alpha motif domain containing 1A	17 ng/L
CLNS1A	Chloride nucleotide-sensitive channel 1A	17 ng/L
DDX18	DEAD-box helicase 18	17 ng/L
ISM1	Isthmin 1	17 ng/L
IMPDH1	Inosine monophosphate dehydrogenase 1	17 ng/L
RPA3	Replication protein A3	17 ng/L
TTC1	Tetratricopeptide repeat domain 1	17 ng/L
TCERG1	Transcription elongation regulator 1	17 ng/L
FRMD4B	FERM domain containing 4B	17 ng/L
GNLY	Granulysin	17 ng/L
PPCS	Phosphopantothenoylcysteine synthetase	17 ng/L
ADAM19	ADAM metallopeptidase domain 19	17 ng/L
UNC45A	Unc-45 myosin chaperone A	17 ng/L
EPS8	Epidermal growth factor receptor pathway substrate 8	17 ng/L
MCU	Mitochondrial calcium uniporter	17 ng/L
NCK1	NCK adaptor protein 1	17 ng/L
STT3B	STT3 oligosaccharyltransferase complex catalytic subunit B	17 ng/L
SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone	17 ng/L
SRRM2	Serine/arginine repetitive matrix 2	17 ng/L
ASMTL	Acetylserotonin O-methyltransferase like	17 ng/L
TRMT112	TRNA methyltransferase subunit 11-2	17 ng/L
PACS1	Phosphofurin acidic cluster sorting protein 1	17 ng/L
CHMP6	Charged multivesicular body protein 6	17 ng/L
FLRT2	Fibronectin leucine rich transmembrane protein 2	17 ng/L
LRRC70	Leucine rich repeat containing 70	17 ng/L
IPO4	Importin 4	17 ng/L
ACSL4	Acyl-CoA synthetase long chain family member 4	16 ng/L
STK10	Serine/threonine kinase 10	16 ng/L
SEC23B	SEC23 homolog B, COPII coat complex component	16 ng/L
SMS	Spermine synthase	16 ng/L
DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	16 ng/L
EIF2B1	Eukaryotic translation initiation factor 2B subunit alpha	16 ng/L
GALE	UDP-galactose-4-epimerase	16 ng/L
CLIP1	CAP-Gly domain containing linker protein 1	16 ng/L
ACSS2	Acyl-CoA synthetase short chain family member 2	16 ng/L
TIMM10	Translocase of inner mitochondrial membrane 10	16 ng/L
EIF2A	Eukaryotic translation initiation factor 2A	16 ng/L
IL18	Interleukin 18	16 ng/L
DST	Dystonin	16 ng/L
CTBP1	C-terminal binding protein 1	16 ng/L
SOST	Sclerostin	16 ng/L
USP7	Ubiquitin specific peptidase 7	16 ng/L
PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	16 ng/L
HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	16 ng/L
NUP160	Nucleoporin 160	15 ng/L
FAM107B	Family with sequence similarity 107 member B	15 ng/L
FAM3A	FAM3 metabolism regulating signaling molecule A	15 ng/L
LUC7L3	LUC7 like 3 pre-mRNA splicing factor	15 ng/L
ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	15 ng/L
FXR1	FMR1 autosomal homolog 1	15 ng/L
MSH6	MutS homolog 6	15 ng/L
UBR4	Ubiquitin protein ligase E3 component n-recognin 4	15 ng/L
IGLON5	IgLON family member 5	15 ng/L
LNPK	Lunapark, ER junction formation factor	15 ng/L
ENAH	ENAH actin regulator	15 ng/L
VBP1	VHL binding protein 1	15 ng/L
UBE2L6	Ubiquitin conjugating enzyme E2 L6	15 ng/L
NPTN	Neuroplastin	15 ng/L
PMVK	Phosphomevalonate kinase	15 ng/L
GPRC5C	G protein-coupled receptor class C group 5 member C	15 ng/L
FUT1	Fucosyltransferase 1 (H blood group)	15 ng/L
FAM3D	FAM3 metabolism regulating signaling molecule D	15 ng/L
LUC7L	LUC7 like	14 ng/L
HGF	Hepatocyte growth factor	14 ng/L
CSTF2	Cleavage stimulation factor subunit 2	14 ng/L
PBDC1	Polysaccharide biosynthesis domain containing 1	14 ng/L
MTCH2	Mitochondrial carrier 2	14 ng/L
ENDOU	Endonuclease, poly(U) specific	14 ng/L
ZAP70	Zeta chain of T cell receptor associated protein kinase 70	14 ng/L
EFHD1	EF-hand domain family member D1	14 ng/L
FHL2	Four and a half LIM domains 2	14 ng/L
SASH3	SAM and SH3 domain containing 3	14 ng/L
KIAA1549	KIAA1549	14 ng/L
MATN4	Matrilin 4	14 ng/L
KLC1	Kinesin light chain 1	14 ng/L
EMC1	ER membrane protein complex subunit 1	14 ng/L
PUDP	Pseudouridine 5'-phosphatase	14 ng/L
BPHL	Biphenyl hydrolase like	14 ng/L
SEC24B	SEC24 homolog B, COPII coat complex component	14 ng/L
TMEM263	Transmembrane protein 263	14 ng/L
FNDC1	Fibronectin type III domain containing 1	14 ng/L
NLGN2	Neuroligin 2	14 ng/L
AKAP13	A-kinase anchoring protein 13	14 ng/L
B3GALT6	Beta-1,3-galactosyltransferase 6	14 ng/L
NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	14 ng/L
NPEPL1	Aminopeptidase like 1	14 ng/L
CD22	CD22 molecule	13 ng/L
MTREX	Mtr4 exosome RNA helicase	13 ng/L
NUCKS1	Nuclear casein kinase and cyclin dependent kinase substrate 1	13 ng/L
P4HA2	Prolyl 4-hydroxylase subunit alpha 2	13 ng/L
SEMA3C	Semaphorin 3C	13 ng/L
RAB21	RAB21, member RAS oncogene family	13 ng/L
LAG3	Lymphocyte activating 3	13 ng/L
PRPF31	Pre-mRNA processing factor 31	13 ng/L
CHCHD3	Coiled-coil-helix-coiled-coil-helix domain containing 3	13 ng/L
AIP	Aryl hydrocarbon receptor interacting protein	13 ng/L
SEMA5A	Semaphorin 5A	13 ng/L
AGXT2	Alanine--glyoxylate aminotransferase 2	13 ng/L
ARL1	ADP ribosylation factor like GTPase 1	13 ng/L
CISD1	CDGSH iron sulfur domain 1	13 ng/L
XPO5	Exportin 5	13 ng/L
LANCL2	LanC like 2	13 ng/L
ZRANB2	Zinc finger RANBP2-type containing 2	13 ng/L
ACY3	Aminoacylase 3	13 ng/L
TMED7	Transmembrane p24 trafficking protein 7	13 ng/L
MTHFS	Methenyltetrahydrofolate synthetase	13 ng/L
NIPSNAP3A	Nipsnap homolog 3A	13 ng/L
PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	13 ng/L
DDX46	DEAD-box helicase 46	13 ng/L
IL2RG	Interleukin 2 receptor subunit gamma	13 ng/L
MYO1E	Myosin IE	13 ng/L
IGF2BP1	Insulin like growth factor 2 mRNA binding protein 1	13 ng/L
CRTC2	CREB regulated transcription coactivator 2	13 ng/L
GNL3	G protein nucleolar 3	13 ng/L
GASK1B	Golgi associated kinase 1B	13 ng/L
JSRP1	Junctional sarcoplasmic reticulum protein 1	13 ng/L
TSR1	TSR1 ribosome maturation factor	13 ng/L
IRF2BP2	Interferon regulatory factor 2 binding protein 2	13 ng/L
COA6	Cytochrome c oxidase assembly factor 6	13 ng/L
SYAP1	Synapse associated protein 1	13 ng/L
RRM2	Ribonucleotide reductase regulatory subunit M2	13 ng/L
COA3	Cytochrome c oxidase assembly factor 3	13 ng/L
RNPS1	RNA binding protein with serine rich domain 1	13 ng/L
STARD10	StAR related lipid transfer domain containing 10	13 ng/L
UBA6	Ubiquitin like modifier activating enzyme 6	12 ng/L
FAM120A	Family with sequence similarity 120A	12 ng/L
OAT	Ornithine aminotransferase	12 ng/L
XYLB	Xylulokinase	12 ng/L
HMOX2	Heme oxygenase 2	12 ng/L
TIMM50	Translocase of inner mitochondrial membrane 50	12 ng/L
CCDC6	Coiled-coil domain containing 6	12 ng/L
FAF2	Fas associated factor family member 2	12 ng/L
RAD50	RAD50 double strand break repair protein	12 ng/L
NCF2	Neutrophil cytosolic factor 2	12 ng/L
ABCD3	ATP binding cassette subfamily D member 3	12 ng/L
EIF2B2	Eukaryotic translation initiation factor 2B subunit beta	12 ng/L
POR	Cytochrome p450 oxidoreductase	12 ng/L
NUMB	NUMB endocytic adaptor protein	12 ng/L
ACP2	Acid phosphatase 2, lysosomal	12 ng/L
EPHA2	EPH receptor A2	12 ng/L
NXPE3	Neurexophilin and PC-esterase domain family member 3	12 ng/L
SRPRB	SRP receptor subunit beta	12 ng/L
RASA1	RAS p21 protein activator 1	12 ng/L
ACMSD	Aminocarboxymuconate semialdehyde decarboxylase	12 ng/L
LARP1	La ribonucleoprotein 1, translational regulator	12 ng/L
OLFML2B	Olfactomedin like 2B	12 ng/L
OXR1	Oxidation resistance 1	12 ng/L
NUDT21	Nudix hydrolase 21	12 ng/L
LY6H	Lymphocyte antigen 6 family member H	12 ng/L
SNX18	Sorting nexin 18	12 ng/L
GREM2	Gremlin 2, DAN family BMP antagonist	12 ng/L
FAF1	Fas associated factor 1	12 ng/L
FHIT	Fragile histidine triad diadenosine triphosphatase	12 ng/L
CDC42BPB	CDC42 binding protein kinase beta	12 ng/L
OXLD1	Oxidoreductase like domain containing 1	12 ng/L
HSBP1	Heat shock factor binding protein 1	12 ng/L
TACC3	Transforming acidic coiled-coil containing protein 3	11 ng/L
CLUL1	Clusterin like 1	11 ng/L
UBL4A	Ubiquitin like 4A	11 ng/L
EMC2	ER membrane protein complex subunit 2	11 ng/L
GSDMD	Gasdermin D	11 ng/L
EFNB3	Ephrin B3	11 ng/L
SF3B6	Splicing factor 3b subunit 6	11 ng/L
GIPC1	GIPC PDZ domain containing family member 1	11 ng/L
FGD3	FYVE, RhoGEF and PH domain containing 3	11 ng/L
PPAT	Phosphoribosyl pyrophosphate amidotransferase	11 ng/L
IL36G	Interleukin 36 gamma	11 ng/L
PLCB2	Phospholipase C beta 2	11 ng/L
SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2	11 ng/L
SAT2	Spermidine/spermine N1-acetyltransferase family member 2	11 ng/L
TENM2	Teneurin transmembrane protein 2	11 ng/L
PPP1R18	Protein phosphatase 1 regulatory subunit 18	11 ng/L
TIMM8B	Translocase of inner mitochondrial membrane 8 homolog B	11 ng/L
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	11 ng/L
RBKS	Ribokinase	11 ng/L
RPL35A	Ribosomal protein L35a	11 ng/L
LILRB4	Leukocyte immunoglobulin like receptor B4	11 ng/L
BORCS6	BLOC-1 related complex subunit 6	11 ng/L
GNL1	G protein nucleolar 1 (putative)	11 ng/L
TECR	Trans-2,3-enoyl-CoA reductase	10 ng/L
AKAP8	A-kinase anchoring protein 8	10 ng/L
FKBP8	FKBP prolyl isomerase 8	10 ng/L
RLN2	Relaxin 2	10 ng/L
NCS1	Neuronal calcium sensor 1	10 ng/L
NT5C3A	5'-nucleotidase, cytosolic IIIA	10 ng/L
EXOC4	Exocyst complex component 4	10 ng/L
OS9	OS9 endoplasmic reticulum lectin	10 ng/L
TTPA	Alpha tocopherol transfer protein	10 ng/L
ASGR1	Asialoglycoprotein receptor 1	10 ng/L
REN	Renin	10 ng/L
MTA2	Metastasis associated 1 family member 2	10 ng/L
APPL1	Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1	10 ng/L
FAM151A	Family with sequence similarity 151 member A	10 ng/L
CTBP2	C-terminal binding protein 2	10 ng/L
CHST1	Carbohydrate sulfotransferase 1	10 ng/L
RIC8A	RIC8 guanine nucleotide exchange factor A	10 ng/L
EFNA5	Ephrin A5	10 ng/L
OPA1	OPA1 mitochondrial dynamin like GTPase	10 ng/L
DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	9.9 ng/L
NUDT9	Nudix hydrolase 9	9.9 ng/L
FKBP15	FKBP prolyl isomerase 15	9.8 ng/L
SPECC1	Sperm antigen with calponin homology and coiled-coil domains 1	9.8 ng/L
CHST7	Carbohydrate sulfotransferase 7	9.8 ng/L
XPOT	Exportin for tRNA	9.8 ng/L
EDC4	Enhancer of mRNA decapping 4	9.7 ng/L
DAAM1	Dishevelled associated activator of morphogenesis 1	9.7 ng/L
COLGALT1	Collagen beta(1-O)galactosyltransferase 1	9.7 ng/L
MYBPH	Myosin binding protein H	9.7 ng/L
OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3	9.7 ng/L
CALB2	Calbindin 2	9.6 ng/L
PDXDC1	Pyridoxal dependent decarboxylase domain containing 1	9.6 ng/L
ATXN2	Ataxin 2	9.6 ng/L
ELAC2	ElaC ribonuclease Z 2	9.5 ng/L
NCAPG	Non-SMC condensin I complex subunit G	9.5 ng/L
CNMD	Chondromodulin	9.5 ng/L
DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	9.5 ng/L
RALY	RALY heterogeneous nuclear ribonucleoprotein	9.4 ng/L
TMOD1	Tropomodulin 1	9.4 ng/L
C9orf64	Chromosome 9 open reading frame 64	9.4 ng/L
TMEM130	Transmembrane protein 130	9.4 ng/L
OLFM4	Olfactomedin 4	9.3 ng/L
TBC1D13	TBC1 domain family member 13	9.3 ng/L
HBS1L	HBS1 like translational GTPase	9.2 ng/L
UMPS	Uridine monophosphate synthetase	9.2 ng/L
TSFM	Ts translation elongation factor, mitochondrial	9.2 ng/L
SCARB2	Scavenger receptor class B member 2	9.2 ng/L
SLMAP	Sarcolemma associated protein	9.2 ng/L
VWA7	Von Willebrand factor A domain containing 7	9.2 ng/L
TIMM44	Translocase of inner mitochondrial membrane 44	9.1 ng/L
SLC25A12	Solute carrier family 25 member 12	9.1 ng/L
MYOT	Myotilin	9.1 ng/L
MEMO1	Mediator of cell motility 1	9.1 ng/L
SNAP25	Synaptosome associated protein 25	9.0 ng/L
METAP1	Methionyl aminopeptidase 1	8.9 ng/L
DNM1	Dynamin 1	8.8 ng/L
NAPG	NSF attachment protein gamma	8.8 ng/L
VPS26B	VPS26, retromer complex component B	8.8 ng/L
CCER2	Coiled-coil glutamate rich protein 2	8.8 ng/L
DFFA	DNA fragmentation factor subunit alpha	8.7 ng/L
ADGRB3	Adhesion G protein-coupled receptor B3	8.6 ng/L
LYPLAL1	Lysophospholipase like 1	8.6 ng/L
PTER	Phosphotriesterase related	8.6 ng/L
CLPP	Caseinolytic mitochondrial matrix peptidase proteolytic subunit	8.5 ng/L
PRMT1	Protein arginine methyltransferase 1	8.5 ng/L
MYO9B	Myosin IXB	8.4 ng/L
PCSK7	Proprotein convertase subtilisin/kexin type 7	8.4 ng/L
INPP5B	Inositol polyphosphate-5-phosphatase B	8.4 ng/L
ATP6V1H	ATPase H+ transporting V1 subunit H	8.3 ng/L
IDH3B	Isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta	8.3 ng/L
SNX5	Sorting nexin 5	8.2 ng/L
CRISPLD1	Cysteine rich secretory protein LCCL domain containing 1	8.2 ng/L
LMO7	LIM domain 7	8.2 ng/L
PLCG2	Phospholipase C gamma 2	8.2 ng/L
ZFR	Zinc finger RNA binding protein	8.1 ng/L
CRAT	Carnitine O-acetyltransferase	8.1 ng/L
TNS3	Tensin 3	8.1 ng/L
LIMD1	LIM domains containing 1	8.1 ng/L
SDHB	Succinate dehydrogenase complex iron sulfur subunit B	7.9 ng/L
PEX19	Peroxisomal biogenesis factor 19	7.9 ng/L
LONP1	Lon peptidase 1, mitochondrial	7.9 ng/L
NCF4	Neutrophil cytosolic factor 4	7.8 ng/L
KDM1A	Lysine demethylase 1A	7.7 ng/L
SORBS3	Sorbin and SH3 domain containing 3	7.7 ng/L
BCKDHA	Branched chain keto acid dehydrogenase E1 subunit alpha	7.7 ng/L
ACOT9	Acyl-CoA thioesterase 9	7.6 ng/L
NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	7.6 ng/L
TOP1	DNA topoisomerase I	7.6 ng/L
AP2M1	Adaptor related protein complex 2 subunit mu 1	7.5 ng/L
SPRYD4	SPRY domain containing 4	7.5 ng/L
RIN3	Ras and Rab interactor 3	7.4 ng/L
NUDCD1	NudC domain containing 1	7.3 ng/L
CLYBL	Citramalyl-CoA lyase	7.3 ng/L
ENOSF1	Enolase superfamily member 1	7.3 ng/L
IL16	Interleukin 16	7.3 ng/L
GUCY1A1	Guanylate cyclase 1 soluble subunit alpha 1	7.1 ng/L
MAPT	Microtubule associated protein tau	7.1 ng/L
DTYMK	Deoxythymidylate kinase	7.0 ng/L
ALOX12B	Arachidonate 12-lipoxygenase, 12R type	7.0 ng/L
GPHN	Gephyrin	6.9 ng/L
HEATR5B	HEAT repeat containing 5B	6.8 ng/L
VIL1	Villin 1	6.8 ng/L
IRAG2	Inositol 1,4,5-triphosphate receptor associated 2	6.7 ng/L
LMCD1	LIM and cysteine rich domains 1	6.6 ng/L
PPP6R3	Protein phosphatase 6 regulatory subunit 3	6.6 ng/L
PLCB1	Phospholipase C beta 1	6.6 ng/L
NEDD4	NEDD4 E3 ubiquitin protein ligase	6.5 ng/L
RFC5	Replication factor C subunit 5	6.5 ng/L
NUP133	Nucleoporin 133	6.3 ng/L
RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1	6.3 ng/L
TBCD	Tubulin folding cofactor D	6.2 ng/L
ABLIM1	Actin binding LIM protein 1	6.0 ng/L
COL7A1	Collagen type VII alpha 1 chain	6.0 ng/L
LIMCH1	LIM and calponin homology domains 1	5.6 ng/L
PRRC2A	Proline rich coiled-coil 2A	5.6 ng/L
